state,state_id
Kentucky,S01
California,S02
Florida,S03
North Carolina,S04
Washington,S05
Texas,S06
Wisconsin,S07
Utah,S08
Nebraska,S09
Pennsylvania,S10
Illinois,S11
Minnesota,S12
Michigan,S13
Delaware,S14
Indiana,S15
New York,S16
Arizona,S17
Virginia,S18
Tennessee,S19
Alabama,S20
South Carolina,S21
Oregon,S22
Colorado,S23
Iowa,S24
Ohio,S25
Missouri,S26
Oklahoma,S27
New Mexico,S28
Louisiana,S29
Connecticut,S30
New Jersey,S31
Massachusetts,S32
Georgia,S33
Nevada,S34
Rhode Island,S35
Mississippi,S36
Arkansas,S37
Montana,S38
New Hampshire,S39
Maryland,S40
District of Columbia,S41
Kansas,S42
Vermont,S43
Maine,S44
South Dakota,S45
Idaho,S46
North Dakota,S47
Wyoming,S48
West Virginia,S49