service_id,date,exception_type
10001,20230220,2
10001,20230221,2
10001,20230223,2
10001,20230313,2
10101,20230116,1
10101,20230220,1
10101,20230221,1
10101,20230223,1
10101,20230313,1
10101,20230417,1
10101,20230418,1
10101,20230420,1
10201,20230220,2
10201,20230222,2
10201,20230224,2
10201,20230313,2
10301,20230116,1
10301,20230220,1
10301,20230222,1
10301,20230224,1
10301,20230313,1
10301,20230417,1
10301,20230419,1
10301,20230421,1
10801,20230221,2
10801,20230223,2
10801,20230314,2
10801,20230316,2
10901,20230221,1
10901,20230223,1
10901,20230314,1
10901,20230316,1
10901,20230418,1
10901,20230420,1
117501,20230404,1
117501,20230405,1
117501,20230406,1
117501,20230120,2
117501,20230123,2
117501,20230127,2
117501,20230130,2
117501,20230203,2
117501,20230206,2
117501,20230210,2
117501,20230213,2
117501,20230224,2
117501,20230227,2
117501,20230303,2
117501,20230306,2
117501,20230317,2
117501,20230320,2
117501,20230324,2
117501,20230327,2
117501,20230331,2
12101,20230201,2
12101,20230222,2
12101,20230224,2
13101,20230220,2
13101,20230221,2
13101,20230222,2
13101,20230223,2
13101,20230224,2
13101,20230410,2
13101,20230411,2
13101,20230412,2
13101,20230413,2
13101,20230414,2
15001,20230217,2
15001,20230220,2
15001,20230310,2
15001,20230313,2
15001,20230403,2
15001,20230404,2
15001,20230405,2
15001,20230406,2
15001,20230407,2
15201,20230213,1
15201,20230306,1
15201,20230217,2
15201,20230310,2
15201,20230322,2
15201,20230331,2
15201,20230405,2
15201,20230407,2
154501,20230220,2
154501,20230221,2
154501,20230223,2
154501,20230313,2
15501,20230201,2
15501,20230222,2
15501,20230224,2
15601,20230201,1
15601,20230222,1
15601,20230224,1
15601,20230412,1
15601,20230414,1
15601,20230419,1
15601,20230421,1
156601,20230217,2
156601,20230220,2
156601,20230310,2
156601,20230313,2
156601,20230403,2
156601,20230404,2
156601,20230405,2
156601,20230406,2
156601,20230407,2
156701,20230220,2
156701,20230327,2
156701,20230328,2
156701,20230329,2
156701,20230330,2
15701,20230213,1
15701,20230306,1
15701,20230217,2
15701,20230310,2
15701,20230322,2
15701,20230331,2
15701,20230405,2
15701,20230407,2
15901,20230220,2
15901,20230221,2
15901,20230222,2
15901,20230223,2
15901,20230224,2
15901,20230313,2
15901,20230314,2
15901,20230315,2
15901,20230316,2
15901,20230324,2
16101,20230201,2
16101,20230222,2
16101,20230224,2
16201,20230201,1
16201,20230222,1
16201,20230224,1
16201,20230412,1
16201,20230414,1
16201,20230419,1
16201,20230421,1
17101,20230220,2
17101,20230221,2
17101,20230222,2
17101,20230223,2
17101,20230224,2
17101,20230313,2
17101,20230324,2
17201,20230117,2
17201,20230118,2
17201,20230119,2
17201,20230120,2
17201,20230123,2
17201,20230124,2
17201,20230125,2
17201,20230126,2
17201,20230127,2
17201,20230130,2
17201,20230131,2
17201,20230201,2
17201,20230202,2
17201,20230203,2
17201,20230206,2
17201,20230207,2
17201,20230208,2
17201,20230209,2
17201,20230210,2
17201,20230213,2
17201,20230214,2
17201,20230215,2
17201,20230216,2
17201,20230217,2
17201,20230227,2
17201,20230228,2
17201,20230301,2
17201,20230302,2
17201,20230303,2
17201,20230306,2
17201,20230307,2
17201,20230308,2
17201,20230309,2
17201,20230310,2
17201,20230314,2
17201,20230315,2
17201,20230316,2
17201,20230317,2
17201,20230320,2
17201,20230321,2
17201,20230322,2
17201,20230323,2
17201,20230327,2
17201,20230328,2
17201,20230329,2
17201,20230330,2
17201,20230331,2
17201,20230403,2
17201,20230404,2
17201,20230405,2
17201,20230406,2
17201,20230407,2
17201,20230410,2
17201,20230411,2
17201,20230412,2
17201,20230413,2
17201,20230414,2
17301,20230220,2
17301,20230221,2
17301,20230223,2
17301,20230313,2
17601,20230220,2
17601,20230313,2
177902,20230401,2
177903,20230402,2
17801,20230220,2
17801,20230221,2
17801,20230222,2
17801,20230223,2
17801,20230224,2
17801,20230313,2
17901,20230117,2
17901,20230118,2
17901,20230119,2
17901,20230120,2
17901,20230123,2
17901,20230124,2
17901,20230125,2
17901,20230126,2
17901,20230127,2
17901,20230130,2
17901,20230131,2
17901,20230201,2
17901,20230202,2
17901,20230203,2
17901,20230206,2
17901,20230207,2
17901,20230208,2
17901,20230209,2
17901,20230210,2
17901,20230213,2
17901,20230214,2
17901,20230215,2
17901,20230216,2
17901,20230217,2
17901,20230227,2
17901,20230228,2
17901,20230301,2
17901,20230302,2
17901,20230303,2
17901,20230306,2
17901,20230307,2
17901,20230308,2
17901,20230309,2
17901,20230310,2
17901,20230314,2
17901,20230315,2
17901,20230316,2
17901,20230317,2
17901,20230320,2
17901,20230321,2
17901,20230322,2
17901,20230323,2
17901,20230324,2
17901,20230327,2
17901,20230328,2
17901,20230329,2
17901,20230330,2
17901,20230331,2
17901,20230403,2
17901,20230404,2
17901,20230405,2
17901,20230406,2
17901,20230407,2
17901,20230410,2
17901,20230411,2
17901,20230412,2
17901,20230413,2
17901,20230414,2
18001,20230222,2
18001,20230224,2
18101,20230222,1
18101,20230224,1
18101,20230419,1
18101,20230421,1
18201,20230131,2
18201,20230220,2
18201,20230221,2
18201,20230223,2
18201,20230320,2
18201,20230410,2
18201,20230411,2
18201,20230413,2
182601,20230220,2
182601,20230221,2
182601,20230222,2
182601,20230224,2
182601,20230331,2
182601,20230410,2
182601,20230411,2
182601,20230412,2
182601,20230414,2
182701,20230220,2
182701,20230221,2
182701,20230224,2
182701,20230331,2
182701,20230410,2
182701,20230411,2
182701,20230414,2
182801,20230223,2
182801,20230323,2
18301,20230116,1
18301,20230131,1
18301,20230220,1
18301,20230221,1
18301,20230223,1
18301,20230320,1
18301,20230410,1
18301,20230411,1
18301,20230413,1
18301,20230418,1
18301,20230420,1
183201,20230116,1
183201,20230220,1
183201,20230221,1
183201,20230222,1
183201,20230224,1
183201,20230331,1
183201,20230410,1
183201,20230411,1
183201,20230412,1
183201,20230414,1
184301,20230223,1
184301,20230323,1
184301,20230413,1
184301,20230420,1
19101,20230220,2
19101,20230221,2
19101,20230223,2
19101,20230313,2
191901,20230220,2
191901,20230221,2
191901,20230222,2
191901,20230223,2
191901,20230224,2
191901,20230313,2
191901,20230314,2
191901,20230315,2
191901,20230316,2
192101,20230131,1
192101,20230221,1
192101,20230223,1
192101,20230411,1
192101,20230413,1
192101,20230418,1
192101,20230420,1
192301,20230404,1
192301,20230405,1
192301,20230406,1
192301,20230120,2
192301,20230123,2
192301,20230127,2
192301,20230130,2
192301,20230203,2
192301,20230206,2
192301,20230210,2
192301,20230213,2
192301,20230224,2
192301,20230227,2
192301,20230303,2
192301,20230306,2
192301,20230317,2
192301,20230320,2
192301,20230324,2
192301,20230327,2
192301,20230331,2
192601,20230217,2
192601,20230220,2
192601,20230310,2
192601,20230313,2
192601,20230331,2
192601,20230403,2
192601,20230404,2
192601,20230405,2
192601,20230406,2
192601,20230407,2
192701,20230404,1
192701,20230405,1
192701,20230406,1
192701,20230120,2
192701,20230123,2
192701,20230127,2
192701,20230130,2
192701,20230203,2
192701,20230206,2
192701,20230210,2
192701,20230213,2
192701,20230224,2
192701,20230227,2
192701,20230303,2
192701,20230306,2
192701,20230317,2
192701,20230320,2
192701,20230324,2
192701,20230327,2
19301,20230222,2
19301,20230224,2
205001,20230116,1
205001,20230117,1
205001,20230118,1
205001,20230119,1
205001,20230123,1
205001,20230124,1
205001,20230125,1
205001,20230126,1
205001,20230220,1
205001,20230327,1
205001,20230328,1
205001,20230329,1
205001,20230330,1
206801,20230220,2
206801,20230221,2
206801,20230222,2
206801,20230223,2
206801,20230224,2
206801,20230320,2
206801,20230410,2
206801,20230411,2
206801,20230412,2
206801,20230413,2
206801,20230414,2
206801,20230419,2
206901,20230220,2
206901,20230221,2
206901,20230222,2
206901,20230223,2
206901,20230224,2
206901,20230320,2
206901,20230410,2
206901,20230411,2
206901,20230412,2
206901,20230413,2
206901,20230414,2
206901,20230418,2
206901,20230420,2
207001,20230131,2
207001,20230220,2
207001,20230221,2
207001,20230223,2
207001,20230320,2
207001,20230410,2
207001,20230411,2
207001,20230413,2
207101,20230220,2
207101,20230320,2
207101,20230410,2
207201,20230220,2
207201,20230320,2
207201,20230410,2
207501,20230220,2
207501,20230221,2
207501,20230222,2
207501,20230223,2
207501,20230224,2
207501,20230320,2
207501,20230410,2
207501,20230411,2
207501,20230412,2
207501,20230413,2
207501,20230414,2
207501,20230419,2
208201,20230220,2
208201,20230221,2
208201,20230222,2
208201,20230223,2
208201,20230224,2
208201,20230331,2
208201,20230407,2
208201,20230410,2
208201,20230411,2
208201,20230412,2
208201,20230413,2
208201,20230414,2
209301,20230116,1
209301,20230220,1
209301,20230320,1
209301,20230410,1
215201,20230222,2
215201,20230224,2
218101,20230117,2
218101,20230118,2
218101,20230119,2
218101,20230120,2
218101,20230123,2
218101,20230124,2
218101,20230125,2
218101,20230126,2
218101,20230127,2
218101,20230130,2
218101,20230131,2
218101,20230201,2
218101,20230202,2
218101,20230203,2
218101,20230206,2
218101,20230207,2
218101,20230208,2
218101,20230209,2
218101,20230210,2
218101,20230213,2
218101,20230214,2
218101,20230215,2
218101,20230216,2
218101,20230217,2
218101,20230227,2
218101,20230228,2
218101,20230301,2
218101,20230302,2
218101,20230303,2
218101,20230306,2
218101,20230307,2
218101,20230308,2
218101,20230309,2
218101,20230310,2
218101,20230313,2
218101,20230314,2
218101,20230315,2
218101,20230316,2
218101,20230317,2
218101,20230321,2
218101,20230322,2
218101,20230323,2
218101,20230324,2
218101,20230327,2
218101,20230328,2
218101,20230329,2
218101,20230330,2
218101,20230331,2
218101,20230403,2
218101,20230404,2
218101,20230405,2
218101,20230406,2
218101,20230407,2
218101,20230417,2
218101,20230418,2
218101,20230420,2
232101,20230117,2
232101,20230118,2
232101,20230119,2
232101,20230120,2
232101,20230123,2
232101,20230124,2
232101,20230125,2
232101,20230126,2
232101,20230127,2
232101,20230130,2
232101,20230131,2
232101,20230201,2
232101,20230202,2
232101,20230203,2
232101,20230206,2
232101,20230207,2
232101,20230208,2
232101,20230209,2
232101,20230210,2
232101,20230213,2
232101,20230214,2
232101,20230215,2
232101,20230216,2
232101,20230217,2
232101,20230227,2
232101,20230228,2
232101,20230301,2
232101,20230302,2
232101,20230303,2
232101,20230306,2
232101,20230307,2
232101,20230308,2
232101,20230309,2
232101,20230310,2
232101,20230313,2
232101,20230314,2
232101,20230315,2
232101,20230316,2
232101,20230317,2
232101,20230321,2
232101,20230322,2
232101,20230323,2
232101,20230324,2
232101,20230327,2
232101,20230328,2
232101,20230329,2
232101,20230330,2
232101,20230331,2
232101,20230403,2
232101,20230404,2
232101,20230405,2
232101,20230406,2
232101,20230407,2
232101,20230417,2
232101,20230418,2
232101,20230420,2
234801,20230220,2
234801,20230221,2
234801,20230222,2
234801,20230223,2
234801,20230224,2
234801,20230410,2
234801,20230411,2
234801,20230412,2
234801,20230413,2
234801,20230414,2
234901,20230220,2
234901,20230221,2
234901,20230222,2
234901,20230223,2
234901,20230224,2
234901,20230410,2
234901,20230411,2
234901,20230412,2
234901,20230413,2
234901,20230414,2
249101,20230223,2
249101,20230323,2
256101,20230222,2
256101,20230322,2
256201,20230222,1
256201,20230322,1
256201,20230412,1
256201,20230419,1
26201,20230222,1
26201,20230224,1
26201,20230419,1
26201,20230421,1
26201,20230314,2
32701,20230220,2
32701,20230221,2
32701,20230222,2
32701,20230223,2
32701,20230224,2
32701,20230327,2
32701,20230410,2
32701,20230411,2
32701,20230412,2
32701,20230413,2
32701,20230414,2
5701,20230221,2
5701,20230223,2
5701,20230314,2
5701,20230316,2
5801,20230221,1
5801,20230223,1
5801,20230314,1
5801,20230316,1
5801,20230418,1
5801,20230420,1
5901,20230222,2
5901,20230224,2
6201,20230222,2
6201,20230224,2
6401,20230220,2
6401,20230221,2
6401,20230222,2
6401,20230223,2
6401,20230224,2
6401,20230327,2
6401,20230410,2
6401,20230411,2
6401,20230412,2
6401,20230413,2
6401,20230414,2
6601,20230217,1
6601,20230222,2
6601,20230412,2
74501,20230213,2
74501,20230220,2
74501,20230306,2
74501,20230313,2
74501,20230403,2
74601,20230213,2
74601,20230220,2
74601,20230306,2
74601,20230313,2
74601,20230403,2
7601,20230217,2
7601,20230220,2
7601,20230221,2
7601,20230223,2
7601,20230224,2
7601,20230327,2
7601,20230407,2
7601,20230410,2
7601,20230411,2
7601,20230413,2
7601,20230414,2
7901,20230131,2
7901,20230221,2
7901,20230223,2
7901,20230411,2
7901,20230413,2
8001,20230131,2
8001,20230221,2
8001,20230223,2
8701,20230201,2
8701,20230222,2
8701,20230224,2
8901,20230131,2
8901,20230220,2
8901,20230221,2
8901,20230223,2
8901,20230320,2
8901,20230410,2
8901,20230411,2
8901,20230413,2
89701,20230201,2
89701,20230222,2
89701,20230224,2
90101,20230131,1
90101,20230221,1
90101,20230223,1
90101,20230411,1
90101,20230413,1
90501,20230201,1
90501,20230222,1
90501,20230224,1
90501,20230412,1
90501,20230414,1
90501,20230419,1
90501,20230421,1
9601,20230404,2
9601,20230406,2
9801,20230314,1
9801,20230222,2
9801,20230224,2