service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20230116,20230421
10001,1,1,0,1,0,0,0,20230117,20230413
10101,0,0,1,0,1,0,0,20230116,20230421
10201,1,0,1,0,1,0,0,20230118,20230414
10301,0,1,0,1,0,0,0,20230116,20230421
10801,0,1,0,1,0,0,0,20230117,20230413
10901,1,0,1,0,1,0,0,20230116,20230421
117501,1,0,0,0,1,0,0,20230116,20230407
12101,0,0,1,0,1,0,0,20230118,20230407
13101,1,1,1,1,1,0,0,20230117,20230421
148702,0,0,0,0,0,1,0,20230401,20230401
148703,0,0,0,0,0,0,1,20230402,20230402
15001,1,1,1,1,1,0,0,20230117,20230421
15201,0,0,1,0,1,0,0,20230118,20230421
154501,1,1,0,1,0,0,0,20230117,20230413
15501,0,0,1,0,1,0,0,20230118,20230407
15601,1,1,0,1,0,0,0,20230116,20230421
156601,1,1,1,1,1,0,0,20230117,20230421
156701,1,1,1,1,0,0,0,20230130,20230420
15701,0,0,1,0,1,0,0,20230118,20230421
15901,1,1,1,1,1,0,0,20230117,20230414
16101,0,0,1,0,1,0,0,20230118,20230407
16201,1,1,0,1,0,0,0,20230116,20230421
17101,1,1,1,1,1,0,0,20230117,20230414
17201,1,1,1,1,1,0,0,20230116,20230421
17301,1,1,0,1,0,0,0,20230117,20230413
17601,1,0,0,0,0,0,0,20230123,20230410
177902,0,0,0,0,0,1,0,20230121,20230422
177903,0,0,0,0,0,0,1,20230122,20230423
17801,1,1,1,1,1,0,0,20230117,20230414
17901,1,1,1,1,1,0,0,20230116,20230421
18001,0,0,1,0,1,0,0,20230118,20230414
18101,1,1,0,1,0,0,0,20230116,20230421
18201,1,1,0,1,0,0,0,20230117,20230417
182601,1,1,1,0,1,0,0,20230117,20230421
182701,1,1,0,0,1,0,0,20230117,20230421
182801,0,0,0,1,0,0,0,20230119,20230406
18301,0,0,1,0,1,0,0,20230116,20230421
183201,0,0,0,1,0,0,0,20230116,20230420
184301,1,1,1,0,1,0,0,20230116,20230421
19101,1,1,0,1,0,0,0,20230117,20230413
191901,1,1,1,1,1,0,0,20230117,20230414
192101,1,0,1,0,1,0,0,20230116,20230421
192301,1,0,0,0,1,0,0,20230116,20230407
192601,1,1,1,1,1,0,0,20230117,20230421
192701,1,0,0,0,1,0,0,20230116,20230407
19301,0,0,1,0,1,0,0,20230118,20230414
2,0,0,0,0,0,1,0,20230121,20230422
205001,0,0,0,0,1,0,0,20230116,20230421
206801,1,1,1,1,1,0,0,20230117,20230420
206901,1,1,1,1,1,0,0,20230117,20230421
207001,1,1,0,1,0,0,0,20230117,20230417
207101,1,0,0,0,0,0,0,20230123,20230417
207201,1,0,0,0,0,0,0,20230123,20230417
207501,1,1,1,1,1,0,0,20230117,20230420
208201,1,1,1,1,1,0,0,20230117,20230421
209301,0,1,1,1,1,0,0,20230116,20230421
215201,0,0,1,0,1,0,0,20230118,20230414
218101,1,1,1,1,1,0,0,20230116,20230421
232101,1,1,1,1,1,0,0,20230116,20230421
234801,1,1,1,1,1,0,0,20230117,20230421
234901,1,1,1,1,1,0,0,20230117,20230421
249101,0,0,0,1,0,0,0,20230119,20230406
256101,0,0,1,0,0,0,0,20230118,20230405
256201,1,1,0,1,1,0,0,20230116,20230421
26201,1,1,0,1,0,0,0,20230116,20230421
3,0,0,0,0,0,0,1,20230122,20230423
32701,1,1,1,1,1,0,0,20230117,20230421
4101,1,1,1,1,0,0,0,20230116,20230420
4201,0,0,0,0,1,0,0,20230120,20230421
5701,0,1,0,1,0,0,0,20230117,20230413
5801,1,0,1,0,1,0,0,20230116,20230421
5901,0,0,1,0,1,0,0,20230118,20230414
6201,0,0,1,0,1,0,0,20230118,20230414
63403,0,0,0,0,0,0,1,20230122,20230122
6401,1,1,1,1,1,0,0,20230117,20230421
6601,0,0,1,0,0,0,0,20230118,20230419
74501,1,0,0,0,0,0,0,20230123,20230417
74601,1,0,0,0,0,0,0,20230123,20230417
7601,1,1,0,1,1,0,0,20230117,20230421
7901,0,1,0,1,0,0,0,20230117,20230420
8001,0,1,0,1,0,0,0,20230117,20230406
8701,0,0,1,0,1,0,0,20230118,20230407
8901,1,1,0,1,0,0,0,20230117,20230417
89701,0,0,1,0,1,0,0,20230118,20230407
90101,1,0,1,0,1,0,0,20230116,20230421
90501,1,1,0,1,0,0,0,20230116,20230421
9601,0,1,0,1,0,0,0,20230117,20230420
9801,0,0,1,0,1,0,0,20230118,20230414