station_code,station_name
SSAN,South San Francisco
SBRN,San Bruno
SFIA,San Francisco International Airport
MLBR,Millbrae
WDUB,West Dublin/Pleasanton
RICH,Richmond
DELN,Del Norte
PLZA,El Cerrito Plaza
NBRK,North Berkeley
DBRK,Downtown Berkeley
ASHB,Ashby
MCAR,MacArthur
19TH,19th Street Oakland
12TH,12th Street Oakland
LAKE,Lake Merritt
FTVL,Fruitvale
COLS,Coliseum
SANL,San Leandro
BAYF,Bay Fair
HAYW,Hayward
SHAY,South Hayward
UCTY,Union City
FRMT,Fremont
CAST,Castro Valley
DUBL,Dublin/Pleasanton
PITT,Pittsburg/Bay Point
NCON,North Concord/Martinez
COLM,Colma
CONC,Concord
PHIL,Pleasant Hill
WCRK,Walnut Creek
LAFY,Lafayette
ORIN,Orinda
ROCK,Rockridge
WOAK,West Oakland
EMBR,Embarcadero
MONT,Montgomery Street
POWL,Powell Street
CIVC,Civic Center
16TH,16th Street Mission
24TH,24th Street Mission
GLEN,Glen Park
BALB,Balboa Park
DALY,Daly City
OAKL,Oakland City Center/12th St
WARM,Warm Springs/South Fremont
MLPT,Milpitas
BERY,Berryessa/North San Jose
PCTR,Pittsburg Center
ANTC,Antioch