stop_id,stop_name
SS,South San Francisco
SB,San Bruno
SO,San Francisco International Airport
MB,Millbrae
WD,West Dublin/Pleasanton
RM,Richmond
DN,Del Norte
EP,El Cerrito Plaza
NB,North Berkeley
BK,Downtown Berkeley
AS,Ashby
MA,MacArthur
19,19th Street Oakland
12,12th Street Oakland
LM,Lake Merritt
FV,Fruitvale
CL,Coliseum
SL,San Leandro
BF,Bay Fair
HY,Hayward
SH,South Hayward
UC,Union City
FM,Fremont
CV,Castro Valley
ED,Dublin/Pleasanton
WP,Pittsburg/Bay Point
NC,North Concord/Martinez
CM,Colma
CN,Concord
PH,Pleasant Hill
WC,Walnut Creek
LF,Lafayette
OR,Orinda
RR,Rockridge
OW,West Oakland
EM,Embarcadero
MT,Montgomery Street
PL,Powell Street
CC,Civic Center
16,16th Street Mission
24,24th Street Mission
GP,Glen Park
BP,Balboa Park
DC,Daly City
OK,Oakland City Center/12th St
WS,Warm Springs/South Fremont
ML,Milpitas
BE,Berryessa/North San Jose
PC,Pittsburg Center
AN,Antioch